a3dr_boss302_laguna_seca, Ford Mustang Boss 302 Laguna Seca Ford, 444bhp, 515Nm, 1603kg, 288km/h, 4.2s 0-100, 3.61kg/hp
a3dr_boss302_laguna_seca_650, Boss 302 Laguna Seca - Hennessey HPE650 Ford, 650bhp, 742Nm, 1637kg, 326km/h, 3.9s 0-100, 2.53kg/hp
a3dr_ferrari_512tr, Ferrari 512 TR Ferrari, 425 bhp, 491 Nm, 1573 kg, 314 km/h, 4.6 s 0–100, 3.7 kg/hp
a3dr_ferrari_512tr_s1, Ferrari 512 TR Canyon Spec Ferrari, 551 bhp, 540 Nm, 1533 kg, 341 km/h, 3.8 s 0–100, 2.78 kg/hp
a3dr_lambo_diablo_vt, Lamborghini Diablo VT Lamborghini, 492bhp, 580Nm, 1625kg, 325km/h, 4.1s 0-100, 3.3kg/hp
a3dr_porsche_993_c2, Porsche 911 (993) Carrera Porsche, 278 bhp, 349 Nm, 1390 kg, 274 km/h, 5.3 s 0–100, 5 kg/hp
a3dr_porsche_993_c4, Porsche 911 (993) Carrera 4 Porsche, 278 bhp, 349 Nm, 1427 kg, 274 km/h, 5.2 s 0–100, 5.13 kg/hp
a3dr_viper_rt10, Dodge Viper RT/10 Dodge, 400 bhp, 627 Nm, 1494 kg, 266 km/h, 4.6 s 0–100, 3.74 kg/hp
abarth500, Abarth 500 EsseEsse Abarth, 160bhp, 230Nm, 1025kg, 211km/h, 7.4s 0-100, 6.41 kg/hp
abarth500_s1, Abarth 500 EsseEsse Step1 Abarth, 175bhp, 245Nm, 1025kg, 211km/h, 7.4s 0-100, 6.40kg/hp
ag_subaru_impreza_wrx_tuned, Subaru Impreza WRX (GD) Tuned Subaru, 467 bhp, 693 Nm, 1383 kg, 270 km/h, 3.5 s 0–100, 2.96 kg/hp
alfa_romeo_giulietta_qv, Giulietta QV Alfa Romeo, 235bhp, 349Nm, 1390kg, 241km/h, 6.6s 0-100, 5.91kg/hp
alfa_romeo_giulietta_qv_le, Giulietta QV Launch Edition 2014 Alfa Romeo, 240bhp, 349Nm, 1390kg, 241km/h, 6.0s 0-100, 5.79kg/hp
alzen_turbinchen, Alzen Porsche 996 '05 (AWD) Alzen Motorsport, ~600bhp, >800Nm, 1325 kg, 300+km/h, 4,3s, 2.21 kg/hp
alzen_turbinchen03, Alzen Porsche 996 '03 (RWD) Alzen Motorsport, 800 bhp, 900 Nm, 1265 kg, 320+km/h, 4,3s, 1.58 kg/hp
as_bmw_m4_g82_manual, BMW M4 Manual G82 Coupe BMW, 473 bhp, 619 Nm, 1572kg, 250km/h, 3.9s 0-100, 3.32 kg/hp
as_mercedes_amg_e63s, Mercedes-Benz E63S AMG Mercedes-Benz, 603 bhp, 848 Nm, 2555kg, 300+km/h, 3.2s 0-100, 4.24 kg/hp
as_mercedes_amg_gtr_2017, Mercedes-Benz AMG GTR 2017 Mercedes-Benz, 585 hp, 700Nm, 1555 kg, 318 km/h, 3.6s 0-100, 2.66 kg/hp
as_porsche_992_gt3_touring, Porsche 911 GT3 (992) Touring Manual Porsche, 502 bhp, 552 Nm, 1435kg, 320km/h, 3.2s 0-100, 2.86 kg/hp
as_toyota_yaris_gr, Toyota GR Yaris 1st Edition RZ High Performance '20 Toyota, 272bhp, 396 Nm, 1260kg, 230km/h, 4.1s 0-100, 4.63kg/HP
audi_rs4_avant_b5_2001, Audi RS4 Avant B5 2001 Audi, 375 bhp, 440 Nm, 1620kg, Over 300 Kmh, , 4.32 kg/hp
bg_mercedes_amg_gt_black_series, Mercedes-Benz AMG GT Black Series Mercedes-Benz, 730 Hp, 800 Nm, 1540 kg, 325km/h, 3.1s 0-100, 2.11 kg/hp
bg_mercedes_c63_amg_bs, Mercedes-Benz C63 AMG Black Series Mercedes-Benz, 510 bhp, 620 Nm, 1635 kg, 300km/h, 3.8s 0-100 / 12.5s 0-200, 3.21 kg/hp
bmw_1m, BMW 1M BMW, 340bhp, 500Nm, 1495kg, 250+km/h, 4.9s 0-100, 4.46kg/hp
bmw_1m_s3, BMW 1M Stage 3 BMW, 400bhp, 580Nm, 1495kg, 250+km/h, --s 0-100, 3.74kg/hp
bmw_m3_e30, BMW M3 E30 BMW, 238bhp, 240Nm, 1200kg, 248km/h, 7.4s 0-100, 5.04kg/hp
bmw_m3_e30_drift, BMW M3 E30 Drift BMW, 343bhp, 365Nm, 1150kg, 250+km/h, 5.3s 0-100, 3.35kg/hp
bmw_m3_e30_dtm, BMW M3 E30 Gr.A 92 BMW, 350+bhp, 310Nm, 945kg, 280+km/h, 4.3s 0-100, 2.70kg/hp
bmw_m3_e30_gra, BMW M3 E30 Group A BMW, 290+bhp, 310Nm, 945kg, 280+km/h, 4.3s 0-100, 3.26kg/hp
bmw_m3_e30_s1, BMW M3 E30 Step1 BMW, 238bhp, 240Nm, 1200kg, 248km/h, 7.4s 0-100, 5.04kg/hp
bmw_m3_e92, BMW M3 E92 BMW, 414bhp, 400Nm, 1605kg, 250+km/h, 4.3s 0-100, 3.87kg/hp
bmw_m3_e92_drift, BMW M3 E92 drift BMW, 414bhp, 400Nm, 1605kg, 250+km/h, 4.3s 0-100, 3.87kg/hp
bmw_m3_e92_s1, BMW M3 E92 Step1 BMW, 414bhp, 400Nm, 1605kg, 250+km/h, 4.3s 0-100, 3.87kg/hp
bmw_m3_gt2, BMW M3 GT2 BMW, 485+bhp, 499Nm, 1245kg, 270+km/h, --s 0-100, 2.56kg/hp
bmw_z4, BMW Z4 E89 BMW, 330bhp, 500Nm, 1605kg, 250+km/h, 4.7s 0-100, 4.86kg/hp
bmw_z4_drift, BMW Z4 E89 Drift BMW, 390bhp, 580Nm, 1525kg, 250+km/h, --s 0-100, 3.91kg/hp
bmw_z4_gt3, BMW Z4 GT3 BMW, 530bhp, 520Nm, 1265kg, 280+km/h, --s 0-100, 2.38kg/hp
bmw_z4_s1, BMW Z4 E89 Step1 BMW, 330bhp, 500Nm, 1605kg, 250+km/h, 4.7s 0-100, 4.86kg/hp
bo_caterham_academy, Caterham Academy 2020 Caterham, 125 bhp, 178 Nm, 575 kg, 170 km/h, 6 s 0–100, 4.6 kg/hp
bo_singer, Porsche 911 4.0 by Singer Porsche, 390bhp, 427Nm, 1244kg, -- km/h, -- s 0–100, 3.19kg/hp
bo_singer_38, Porsche 911 3.8 by Singer Porsche, 300bhp, 256Nm, 1244kg, -- km/h, -- s 0–100, 4.15kg/hp
bo_singer_awd, Porsche 911 AWD by Singer Porsche, 390bhp, 427Nm, 1274kg, -- km/h, -- s 0–100, 3.27kg/hp
cky_bmw_m340i, BMW M340i xDrive G20 2023 BMW, 374 Hp, 500 Nm, 1725 kg, 250 km/h, 4.4s 0-100, 4.61 kg/hp
cky_bmwm2g87_2023, BMW M2 (G87) 2023 BMW, 460 bhp, 550 Nm, 1725kg, 250km/h, 4.1s 0-100, 3.75 kg/hp
cky_bmwm3g80_cs, BMW M3 CS G80 2023 BMW, 550 Hp, 650 Nm, 1760 kg, 307 km/h, 3.4s 0-100, 3.2 kg/hp
cky_evo_ix_mr, Mitsubishi Lancer Evo IX MR Mitsubishi, 276 Hp, 355 Nm, 1485 kg, 249 km/h, 5.7s 0-100, 5.38 kg/hp
cky_gtr_nismo2022, Nissan GT-R Nismo 2022 Nissan, 600 bhp, 650 Nm, 1703 kg, 315 km/h, 3.2s 0-100, 2.84 kg/hp
cky_mercedesamg_sl63, Mercedes-AMG SL 63 2023 4MATIC+ Mercedes-Benz, 585bhp, 800Nm, 1895kg, 315km/h, 3.6s 0-100, 3.24 kg/hp
corvette_dp_c, Coyote Corvette DP Chevrolet, 598 bhp, 729 Nm, 1039kg, 300+km/h, , 1.74 kg/hp
corvette_dp_d, Dallara Corvette DP Chevrolet, 598 bhp, 729 Nm, 1039kg, 300+km/h, , 1.74 kg/hp
drm_1001, BMW 2002 Turbo DRM '77 BMW, 422 PS, 359 Nm, 775 kg, 220+km/h, --s, 1.84kg/PS
drm_1001_2, BMW 2002 Turbo DRM '77 BMW, 422 PS, 359 Nm, 775 kg, 220+km/h, --s, 1.84kg/PS
drm_120, BMW 320i Turbo DRM '78 BMW, 493 PS, 430 Nm, 840 kg, 260+km/h, -, 1.7kg/PS
drm_120_2, BMW 320i Turbo DRM '78 BMW, 493 PS, 430 Nm, 840 kg, 260+km/h, -, 1.7kg/PS
drm_121, BMW 320i Turbo DRM '79 Schnitzer BMW, 537 PS, 448 Nm, 890 kg, 270+km/h, -, 1.66kg/PS
